mesh,approx y=0.25,exact y=0.25,approx y=0.5,exact y=0.5,approx y=0.75,exact y=0.75
0,1,1,2,2,1,1
0.25,0.99312,0.92388,2.0419,1.84776,0.99312,0.92388
0.5,0.788103,0.707107,1.61685,1.41421,0.788103,0.707107
0.75,0.433399,0.382683,0.886477,0.765367,0.433399,0.382683
1,6.12323e-17,6.12323e-17,1.22465e-16,1.22465e-16,6.12323e-17,6.12323e-17
